s	scores
HG02439	[-0.37454676224018657,0.07917942842663989,0.004242278639651466,-0.001435348497598396,0.0012429288018351236,-0.004870744973892075,-8.697048052167623E-4,0.018349285473966297,-0.002355024993555948,-0.012988954621008589,0.004011335435428155,-2.478469601353604E-4,0.01629622172394407,-0.01969830046815987,-0.015642146100727675,-0.0027431680426135206,-0.0076706616365132575,0.00193548890343514,0.009053131693839658,-0.005297588386651803]
HG02442	[-0.394431405210074,0.08985426038226085,7.41306014425829E-4,0.009692339563211382,4.7143209258313455E-4,-0.005357894157484253,9.376478441745735E-4,0.022318112704598228,-0.0016047276660572567,-0.015548578903242224,0.0066841483742409195,0.006254388987859029,-6.687589882250631E-4,-0.023873263249279925,-0.025752736169159685,-0.00801674047145018,0.004176814370456442,-0.00319794489042829,0.0034918244463342397,-0.008787797944337162]
HG02445	[-0.3268648529959468,0.04198092061197409,0.006903492730206405,0.013888387224031818,-0.0050508088961161825,-0.00506454694716586,-0.0020214561811013154,0.018000697207339274,0.0037645031591390784,-0.010074233537140584,-0.004036945941144108,0.006345776261799732,-0.0023629749861715653,-0.018249876950040607,-0.013880012752185592,0.004287600755226547,0.0016125272275331918,0.006827979558696268,0.01361731356168971,-0.0018608072013638407]
HG02449	[-0.3825056437265473,0.07606414273701846,0.016943826116406022,0.008045085423878997,0.003346543319370814,-0.01579232615776316,-5.120424313934867E-4,0.024025162236959864,-0.005953957861852167,-0.03075025762216692,0.004527896709121578,9.975516502938565E-4,-0.0057065500797886795,-0.029793954854039663,-0.0309001105759615,-0.002348991257886548,-0.005708086062228408,-0.010184095416296843,-0.0018827080544415445,-0.007702489685147701]
HG02450	[-0.36294026007754127,0.06904706179853377,0.003384831702194335,0.005801742975798876,1.723127035840515E-4,-0.0066835070440742685,0.002356994578294895,0.02148132004001886,-3.6562198629888973E-4,-0.01564525891196364,0.002907311889678151,-0.0019042936774999175,-0.0047032021309253045,-0.015901995763499616,-0.014525263690081976,0.00948721624885359,-3.164755577266547E-4,0.008540921332446973,-0.006367815541458348,0.0062233379950084175]
HG02455	[-0.33516032166784443,0.044371941637744466,0.004412941922955932,0.005117489915736515,5.12492403202014E-4,-0.015873237075277446,-0.004320794358761792,0.01943636895908968,-0.012002729900400291,-0.02309133770777012,0.006189506639164175,0.005853759937665559,0.00832130810142935,-0.027512335162239318,-0.012278410523847923,-0.0024093497351085867,0.007232989895024726,-0.005562104670697906,0.01320142211317365,0.005063228157782455]
HG02461	[-0.3983792740263187,0.089376922869413,0.008669126911139502,0.0019228752094451347,-0.0021081659573776285,-9.840530751302056E-4,-0.010182759504420432,0.049811453880664526,0.008060629696351077,0.11668206008399201,5.04856401970747E-4,-0.007260483231204291,-0.0018630052193000864,0.026592454042507714,0.03894104210817097,3.093376386088103E-4,-0.008269678490922892,0.02010630124043546,-0.004887218691394981,-0.0017024735622102453]
HG02462	[-0.38145997158773126,0.07647861173314849,0.0104676621335068,0.009513829331584792,0.0049376624332100015,0.0010640451152224002,-0.019220877382480038,0.04719971968659619,0.01665917701616948,0.12690634427171463,0.003284224663104143,-0.012699144369141728,-0.007068779327518461,0.0336531083397101,0.03190036021242198,0.004707825843046428,-0.01227147498394216,0.02017377676827601,-0.006163574343422016,-0.010257358024130407]
HG02464	[-0.40607788229350106,0.08963267807053718,7.504220209879238E-4,-0.0027310148327927505,-0.002234943055481616,-8.36012634123332E-4,-0.009460315756911317,0.04117028762933277,-7.824810930413734E-5,0.11205086175088853,0.008041548363783745,-0.009785533595380737,0.005047426427535822,0.022228976710276536,0.02641751870711818,-0.005837748777652002,-0.009273687832115289,0.012261215665066973,-0.015318922859778145,-0.009669073296181564]
HG02465	[-0.40255986877262884,0.0939477595773389,0.005682345170226131,0.00659033159622797,0.012528183312293087,-0.0028169252176137903,-0.004325670051053138,0.04107398259528102,0.007100421807282808,0.10792939342728151,-0.008512790861778752,-0.003311953912862622,-0.0020383186843965454,0.007011097659163218,0.028431433076222586,0.002569808337376687,-0.009419227099752835,0.008280662214410222,0.0079106441499285,-0.0040494181393513065]
HG02470	[-0.37214889050426164,0.07174988798971732,0.0059243246799574574,0.007792620719250274,0.0014151411500045975,0.002057072647547196,0.006007563846705614,0.013496794327696602,-0.004777082705054379,-0.0170066067835515,0.0029958069813397145,0.009275812157952737,0.0017039165798355142,-0.01698879972869396,-0.02588784184125148,-0.003367311708970641,-0.0057685898530606995,-0.011611060652693623,0.005625652462719868,-0.0055039835368766565]
HG02471	[-0.36605523215225044,0.0690638594983889,0.007233838629952934,0.010756929367604617,0.001907208877650609,-0.006187815609204492,-4.347954114833622E-4,0.019606230129769975,-0.005800026728809816,-0.016966908266523615,-0.0037191347751415957,0.008675290118055947,0.004250650586358389,-0.01536684977254189,-0.02712852394339672,-0.011886645814112883,-0.0026171933465391844,-0.0024216310328163647,0.01533036873661972,0.0058758823947605366]
HG02476	[-0.3205635957676115,0.03951696985710278,0.0012435417379585794,0.01703244193734532,-0.004910243505884107,-0.013922924431889748,0.004420513227519002,0.013691309293253845,0.004132714973027696,-0.016521874433730724,0.015226159275212826,0.0043136352062385815,-0.0033712588415327083,-0.010704267326268155,-0.018750203377900787,0.004300126892876562,0.013452667705405432,-0.007426529990619512,-0.001169781507232069,0.006551438893131561]
HG02477	[-0.33901106301708567,0.050283610751328756,0.010835523284376411,0.016742024079984267,-0.001311365367335786,-0.011942075206255776,-0.00291061568046391,0.028358772508261913,-0.004739869744778645,-0.016135344414683284,0.005751374050130082,0.007090958955904971,0.006772971617979154,-0.01981119106756549,-0.021041096870056782,0.008286823444698384,0.006852067799220892,-0.007978566266039303,-0.003260168032012201,-0.013843699010766767]
HG02481	[-0.3596418692566022,0.07142221432035072,0.00572581357510278,0.009846888975602833,-0.002703953182526573,-0.013083288026848012,-0.003399426737295433,0.01964323448233217,-0.0030367052643902573,-0.02146371147693688,-0.005147267958181353,4.36194653171501E-4,0.013393047832082719,-0.018874118984222154,-0.007644258662937048,0.0044985950025016016,-0.011446844911575932,-0.00110863474060808,0.011621414091151217,-0.0094172677545059]
HG02484	[-0.35656670971492316,0.06316783578921717,0.003965221657123095,0.014199147787061338,0.001129872379311299,-0.01416572090753281,-0.0034643931067973007,0.026262938352544733,-0.007579159438069963,-0.008962597720241511,0.0054146557074556435,-0.0053953177377341595,-0.0070521174512019535,-0.006434221027261101,-0.0280820587492639,0.0030326305148182324,0.0023915203313642137,0.002001655353920333,0.009952162238422766,-4.460557984660338E-4]
HG02485	[-0.29097339313965154,0.013873393765272435,0.013824377419558609,0.02743212540034794,0.006597479629205876,-0.019948574235538367,0.0015207386700263014,0.02112503554534524,-0.007289560634128367,-0.022535405291250657,0.011735584664913128,-0.002507521228162443,-0.004853902742485247,-0.008474025398458792,-0.007906995397162648,0.007207599597773243,0.003952044415076145,-0.007741652451324213,0.008537472345304213,0.007814651978653175]
HG02489	[-0.3404203184452705,0.04583271988171497,0.00858184132748207,0.012948506215009708,-6.952342643475199E-4,-0.012593839102186003,0.002410352410116518,0.018155926327619528,0.00272718785354662,-0.02959725297231053,0.003909467368001886,9.293451904664818E-4,0.0057334844047450305,-0.0034770221366824043,-0.01565841639299382,0.0023759907033237258,-0.0073372437674373,-0.011316770853758153,0.0020112352694810964,0.0023261870120672447]
HG02490	[0.09236263087829903,-0.12044594828188768,-0.10176080848016546,-0.0986346048510601,0.025057209150040748,-0.008935904842360383,-0.008494612816272827,-5.813244728113405E-4,-0.03278974704419698,0.010587926021010791,-0.009015108198499674,-0.009575975846204917,0.002028507034708593,-0.01157249581879155,0.0136396300166221,0.0013119277588961508,0.011597145532969698,-0.009621364166842908,-8.554044632936942E-4,-0.01367651383253568]
HG02491	[0.08860719627110476,-0.10605127341863911,-0.11373645470131888,-0.12039649430418144,0.02500097269747672,-0.010827660635255887,0.007756353920440814,0.0023133498178821306,-0.009180139486641639,-0.0040812642683667475,7.010668208608705E-4,-0.003051253759822379,0.004387405986268507,-0.010864492781630626,-0.0022308999968945627,-0.002445061726072405,0.0035621178588624595,-0.012187267843905662,-0.0019275417379042306,-0.03434318834368374]
HG02493	[0.07572695310154354,-0.11777680224753469,-0.10964658449334684,-0.11633364847678752,0.024661815280858285,0.0021738178037168055,-9.63155596234392E-4,0.009275960087556184,-0.04406437115589873,0.009838194866179574,-0.003562165954173139,-0.011466638694440513,0.003021817707850627,-0.02962660752062353,0.025889388409603233,0.012138015437185033,0.00219467490588755,-0.020075076918690968,-0.006002043264958724,-0.008884588677669766]
HG02494	[0.08136611391105014,-0.12352099415172907,-0.08651779253375011,-0.09948890829774847,0.02192764258430756,-0.0016394119957133706,-0.002444802780815208,-0.009155259729156191,-0.036389248062681415,-0.007997924376116924,-0.006469732630863266,-0.008245977903924014,0.0023854204742892048,-0.024579231963842013,0.016123578733005624,-0.010683188100038028,0.013062052753285728,-0.008469068921166117,0.0017606387647901654,-0.003923907980500886]
HG02496	[-0.36742519219020003,0.06601433075919369,0.009130313829610418,0.00729103574490568,0.0020361083541353318,-0.0020947415243713057,0.003190255183057405,0.029619296389962507,-0.009393599318612503,-0.018917461174843858,-5.80596516443205E-4,-0.0027251011272778464,0.006240397347994841,-0.02765310021297953,-0.022889514544243657,0.006453895573299604,5.547448127943383E-4,-0.005792438826988284,-0.01048645635596116,-0.005928408280204095]
HG02497	[-0.3783153250364541,0.07459341711725082,0.011557563428668649,-0.0019871464204269194,0.007159101388367094,-0.0024194013347896377,-0.005497169443505663,0.015259144378891991,-0.0056753836485008745,-0.013431442243949807,0.005632035124324514,0.0031379828607418377,3.189775649800268E-5,-0.02627995954714947,-0.02670294928109807,-0.0024105156661444675,-0.005831634449426746,-0.006648783020669026,-0.0023242124011720565,-9.385646409556062E-4]
HG02501	[-0.3010446899016067,0.019200091884738778,0.008892182473540941,0.02097746148696029,0.004334598115584978,-0.012428402106754706,0.005335053361979929,0.01615033843618077,0.004009648435009233,-0.02184399785421111,0.006798983203870169,0.0024495322934062645,0.010329885960294027,-0.016348840612975472,-0.027440144824012774,0.003971227986164042,7.458232204858101E-4,4.457865836030332E-4,0.006224806720239006,-0.005629595677125022]
HG02502	[-0.312238104161646,0.03093733237299034,0.0058882960449833256,0.020157058550203125,-0.004435428635425543,-0.015768080544173693,0.009557375772422076,0.02059514430631989,-0.003524266710904545,-0.009302867774988429,0.007368443544836753,0.005851329397707485,0.0025383116902791773,-0.012162686776902567,-0.02509566706494504,-0.003927047580040527,0.0023514513101589684,7.938378613947936E-4,-0.006225806489268675,-0.002606231179102929]
HG02505	[-0.35949851791935905,0.060827681532807716,0.009469271289167653,0.005868910868904729,0.0019505210002981376,-0.007798341443855148,0.002518489336774226,0.01925631573706624,-0.004983108781942882,-0.02762797431033159,0.005171228085888774,-0.0018468138298917034,-0.0010801388471581351,-0.022869615786218173,-0.020159951265388373,0.005163435668949692,0.005718117438509837,-8.326785812453175E-4,0.012722113745043574,0.005255153401493228]
HG02508	[-0.36455504302476527,0.0762294835289835,7.209187075107922E-4,0.004678828231662764,0.00383985786619104,-0.0020310619038222716,-0.005728738693663893,0.02117281210857503,0.0027156384545700793,-0.02245561916744331,0.0056096493017853254,-0.0018772006466709547,-0.008145753315296692,-0.016367871805329465,-0.01938462343024416,-0.00856534841275165,-0.0022726481387821225,-0.006838130890487837,-7.84032597486918E-4,-0.005230535656987616]
HG02511	[-0.37979532352536466,0.08038877380283782,0.006995098461206333,0.010167234912111118,0.00538235572513689,-0.010794698946196876,6.08589349948917E-4,0.022312947060748232,-0.005127651237382536,-0.024766998460698627,0.0030838173354564126,0.010775883581026368,0.014862248457916925,-0.011210877880451955,-0.017300161462142867,-0.006191302119603934,-0.009042665607363491,-0.007477741181579967,0.024093286355186393,0.013671120854111176]
HG02512	[0.19626612534521434,0.28319168022055036,-0.042065078612913955,0.06663438942179807,0.005463625575067302,0.04403951498199456,0.07843834488933678,0.019342314075214508,-0.01211493848436206,0.007655484128352788,1.6519524823403308E-4,-0.006421631717006464,-3.1251460682774914E-4,0.010101268955940821,-0.0017565663932868265,0.018166854100968487,-0.017790398376868855,0.013944946441191578,0.005308616913766706,0.006239065212120584]
HG02513	[0.20004487659589285,0.28585211083859857,-0.040859421840953335,0.07653702938677096,0.0085380137473268,0.054164820330486224,0.0974450978764721,0.026615080599306902,-0.011577591512560909,-0.004568011373163705,7.894608835325498E-4,-0.006349465231790034,-0.00203172019308402,-1.3313576028891133E-4,-0.006822863212515212,0.03094109627784922,-0.019434585473665843,0.008988577168065278,0.005153662785045252,0.002140608866081494]
HG02521	[0.1911930235565696,0.28189642914707935,-0.039862829448763355,0.06999497580635874,0.010410886538083398,0.04934440702590204,0.08187962700462255,0.022719082347713613,-0.005867050472940957,3.137731800761392E-4,-0.007612010759887754,7.347623110986702E-4,0.005885091247046955,0.0037629943754180126,-0.013952684694024158,0.039992250335792616,-0.004699606002753883,-6.762814805964704E-4,0.003794107120143475,5.396192647753712E-4]
HG02522	[0.19364645874988123,0.2781854460076452,-0.04090210166503471,0.06528586634934222,0.00963717143609897,0.049660554819454514,0.08758604213975665,0.01958929241661935,-0.008125435508275571,0.006403290731834101,-0.008323630551072275,-0.008206244510236072,0.006727541486195147,0.0036100428459515414,-0.002535146999552101,0.030803554817048637,-0.0018653220094735545,-0.004650769585898315,0.005120834716927655,-0.009032054679087501]
HG02524	[0.2019875582105388,0.2886011225817751,-0.038925424905492376,0.07021985495851481,-0.007207121701065697,0.04627795004165956,0.07321740503145502,0.02426604699609908,-0.011655290908806504,0.00701578262465853,-0.007468846119171193,0.001867196193621862,-0.009431828562065057,-0.002565579333204464,-0.004379088696705208,0.021319728496851844,-0.0027672356598543208,0.00921583683519635,2.789438965379663E-4,-0.001252828216452387]
HG02525	[0.1987796832559328,0.28609888104593584,-0.037911286045408756,0.07710404748985399,0.0026387614464893332,0.05086880769263488,0.08056007799596362,0.023948027853393925,-0.013178435413638357,0.004299184863360397,-0.007452959411598742,-0.003875699081200376,3.674406788473455E-4,0.0025491241863631006,-0.003090232318662933,0.0260830330362902,-0.009752935621848717,0.0048031107181774006,8.556427863041216E-4,-0.004803862378721803]
HG02536	[-0.31146511475027944,0.02711487762369214,0.008426081363316268,0.015495198021606517,0.0069941865130275505,-0.01888311806501317,0.004036258945814864,0.02587185317183751,-0.0025641103366131324,-0.02474195548890549,0.010917008163758134,-0.004119814518016811,-0.005704938290290796,-0.024407814040560735,-0.01588381374698463,0.0043298492661206925,0.002536479498937438,-0.0014814218162836036,0.006309151189318247,0.005185952863435387]
HG02537	[-0.3857115324108669,0.07603596199035613,-0.0010909986145114044,0.005802418898303582,9.101882202615274E-4,-0.008133960744490031,-0.005182028179162391,0.01010022934333928,-0.009779237030992044,-0.009943232380611318,0.0011861699900422322,0.018426974219979846,-0.004583297460785934,-0.02796315232425969,-0.036577593002433705,0.007234218869285386,-0.005415046857209528,0.0014760612178092336,0.008311389387580111,0.003716009661464515]
HG02541	[-0.31341416063006783,0.03230687559500676,0.007723533497012169,0.01363552056647792,0.0019247291406833985,-0.011246228083328634,0.005655780751156005,0.00978972418657507,-0.0034010714904659455,-0.024939241047559266,0.005635432758622873,0.009575826093505985,-0.0012524105605097526,-0.014027663055430531,-0.010379427848677325,0.002817844505126265,0.0014349117034076378,-0.006646443341629875,-9.207575927143992E-4,0.0055267822759848175]
HG02545	[-0.36057910638871027,0.06574617010289487,0.003031858765096737,0.008009047160375635,0.0013945776951218344,-0.006628881994221248,0.00881880733027848,0.020291580896456073,-0.008714784612282369,-0.021144245592326718,0.004155666014280653,0.008291386845689043,-0.0019222657641926244,-0.01142455722605634,-0.02691332198632258,-0.014343802163554338,0.005538212720053822,-0.008784092813207627,0.006409748506685259,-0.0011256238718870425]
HG02546	[-0.3664344026634806,0.06747468471173437,0.007460450022605932,0.006398039177390133,0.009987560526756019,-0.009848339962499961,-0.002786703100228365,0.019766453348772334,-0.009505337080683872,-0.022858107538045815,0.004492418946374947,0.006905528913166563,0.014676678759570816,-0.01409350266360967,-0.020255147365205867,-0.006908371696363029,-0.0015406309418230534,0.007109442165366843,-0.005038520516897001,-0.0027752510216182413]
HG02549	[-0.3903270323421026,0.08292232447899997,0.007853662545409984,0.007842149355988008,0.004639344400268008,-0.007105573825334725,-0.00609123137624417,0.022602177424092904,-0.0026721774384890905,-0.021710387497893467,0.002594975486780576,0.009235461136131818,0.005049181387461233,-0.02559295110500059,-0.03131438026194655,0.003620239374059179,-0.004509385045556644,0.004543786111805829,6.576149706968566E-5,-0.013621760056852224]
HG02554	[-0.34412919543957693,0.05973648778642527,0.011476797646044777,0.012993886884646403,0.0038248646350814517,-0.009572338830053005,0.005138873478806609,0.017791737777487545,-0.012317257638199594,-0.020794357874719435,0.005411477064983069,0.00460537257699831,-0.009310387678064544,-0.015018146205640126,-0.01457215990045815,-0.0026365880526740366,0.005050872252180185,-0.001816148627634209,-0.002212314935030236,0.0031624462391720183]
HG02555	[-0.3574786984378204,0.054726102719869156,0.011760546685806504,0.009697184615579202,0.005472051924941384,-0.010405147405666927,-0.0031337869950014184,0.014751276153215098,0.005043867971850969,-0.022661642375664086,-0.008935049849372805,0.002367397959213978,-0.00857782756889889,-0.007602735086572449,-0.014258380058796994,0.009401356794289299,-0.005226684906175818,-0.0021854513241907954,0.008064377483456207,-0.009276679474059892]
HG02557	[-0.3822107019178226,0.06915702352522325,0.009672328087258484,0.005055763790418508,-0.0016849362337806272,-0.0028859777601247154,-0.005445355661116748,0.027436576203557515,-0.006036579377171138,-0.02265994792700533,6.487789933562562E-4,-0.008431970462050221,-0.005872375571562619,-0.018174439631194556,-0.024096526938045506,-0.0024488334942572004,-0.0022848524313396662,-0.007261658304616302,-0.0040266598470681675,-0.0029714654326014863]
HG02558	[-0.3627931689476712,0.05848639002726998,0.01601379221059671,0.009987779924300449,-9.401359735282551E-4,-0.010830240735349472,0.0038744835462090005,0.034563980637376215,-0.01576945008392533,-0.01257198294683978,0.006234862330341147,0.004651319660755676,-0.0024322455352056133,-0.01902673853184555,-0.0216270999714643,-0.006018608727663246,-0.004977820386618786,0.0034544127337204256,1.9094494525130328E-4,0.008142403770396161]
HG02561	[-0.38773163638866653,0.08396589533682551,0.00508636352946669,0.0024625146805520417,-0.0062542228425758,-0.002229756936002315,-0.01674226154889704,0.044041998587738516,0.016336153499769957,0.10209263716290809,-0.0036068064173059725,-0.010725083836071956,-0.009847586806000638,0.02394974401101502,0.033694771048913386,0.005934780673046587,0.009182655712799102,0.0036691982210804563,-0.01182615917222989,0.008711873566298723]
HG02562	[-0.3975994774147288,0.08725401846550618,0.010863977184320434,0.0013526716243019356,0.005192642764499809,-0.004408320828863975,-0.020295651153815156,0.049640093187127914,0.0020838309926730467,0.08289509509174538,0.0037099365997982337,-0.00825053432077207,0.0029185019787994044,0.017363384068600052,0.018114306928388918,0.0019091535547940885,-0.008092735147407017,0.007250739651005778,5.698976211388203E-4,0.002476841710378606]
HG02569	[-0.3964719266613193,0.0879691742624173,0.008491938616146789,0.006041371399821196,0.004818242589955871,1.0271849150809121E-4,-0.006438591834971125,0.0465012935671896,0.014950967551129332,0.10687991290833454,-0.010191113660425194,-0.005611261903563342,0.0015490976789685866,0.02540565045507781,0.034717202426590994,-0.0031892073673589045,-0.007355761422817091,2.114620244170298E-4,-0.006778901673246082,-0.0015421568784790777]
HG02570	[-0.3983564302438912,0.09110079790839141,0.003690254369796244,-2.5204495347153354E-4,-0.005094459771817737,-0.010969367613811992,-0.009426920837276056,0.03934921742740742,0.005505029711969471,0.10295731897500267,0.0037473422500452092,-0.013273004803507297,0.0013330929978710704,0.006594917637235579,0.027622769120023746,0.011462393068419114,0.00947514296464545,0.01558476532488813,-0.00968240905821578,0.025887526669427098]
HG02571	[-0.40083417167778335,0.0881880371818638,0.00567607553193877,0.00378431121817401,0.004772003502470097,-0.008649844638643031,-0.01659986425789948,0.049339852981402525,0.0014092567189561058,0.10737769927171259,-0.0062121058844051115,-0.005255163297428269,0.006274215798444618,0.028399121363439868,0.02110816634371053,0.005414969058953993,0.002527273151812957,0.009201910483455386,-0.01662363361561383,0.010092357072146514]
HG02573	[-0.3911811335240075,0.08565322687667534,-4.216826028789815E-4,0.002777548927528242,0.003480442177034096,-0.003622803014746906,-0.007855386505592712,0.029429031521291324,0.011500028154457954,0.10869632772328057,-0.013067819855911936,-0.007071043906693585,0.0024561248202094104,0.009465881644800144,0.030284733967237548,0.00561447646266461,6.714708355866478E-4,0.006149327201088414,-0.001967890572152607,-5.312729244559717E-4]
HG02574	[-0.3877590037136131,0.07134318309327861,0.0074700121125904784,0.013700081772885663,-0.0028491446807616646,-5.378016348035362E-4,-0.0026023026347192233,0.04388243171102527,0.009643674623439107,0.10218430751724791,-0.0032515142683706144,-0.0015785172973869282,-0.010292476287261466,0.021827870923395238,0.014051218719774777,0.003634479857793776,-4.538912121582968E-4,0.0016701306520117583,-0.012468722165560334,0.0046620293650591095]
HG02577	[-0.3058668585023973,0.014576096603655126,0.015454874920877076,0.02483298076096434,-0.007930386330863891,-0.015322620086283767,0.001310076512260327,0.024986726804324667,2.312826292337276E-4,-0.02163897780464499,0.007452411027250465,-0.0018847265321301717,0.0034966324914720358,-0.016876234665343607,-0.022179961753475298,8.739560103038095E-4,0.005139664496595355,0.0048786864721051,0.002574038921237996,3.1890668524300235E-4]
HG02580	[-0.3378795958780448,0.04918672196120438,0.006630498486767242,0.012932014894360301,-0.004236545141369155,-0.01303669544238436,0.008252388515036785,0.01571032409743609,7.959018101881983E-4,-0.022245169536580827,0.004135320424957078,0.0036476679363209195,-0.006699920438879838,-0.01650852396363434,-0.0271201994338355,-0.006449100996480742,-0.005140262821632434,0.0022054792446167966,7.816521560217277E-6,0.007466819238395975]
HG02582	[-0.39445085809417163,0.08807751215788683,0.005968673709542101,0.0022706784444554533,-3.126450964408144E-4,-0.004046780638715567,-0.010361624207178368,0.04159026116804559,0.011886594910257633,0.12136332123566859,-0.004510642094778366,-0.005864947099887263,0.001205168498753953,0.024483308969106277,0.03124331847070341,-0.007354661560488903,-0.005041354498463797,0.005758568123804226,6.565820812796244E-4,-0.0015346980528039794]
HG02583	[-0.40295805408181506,0.0871865501066529,0.0014823798796116605,0.002596422423598825,-0.0033716526976868204,9.35025714286505E-4,-0.014380894243190983,0.05128472693102876,0.015993305871600798,0.11650352080485141,0.006634196568133899,-0.010048052037651486,-0.003031485440498666,0.021315667524854396,0.022312170262154225,0.005887828655639128,-2.3369390649146757E-4,0.006533149142375013,-0.008258914616951097,0.0024348914437663967]
HG02585	[-0.40264482710059546,0.08722975551282265,0.009106773078520551,-0.0019672490280195237,0.005185599061563056,-0.007961015862187568,-0.0042708371192712955,0.04245371418020082,0.006289723016632808,0.1210735833046442,0.007258212072100222,-0.011082925361723568,-0.0018706869778224312,0.018054004412199936,0.027447293135278293,-6.56172521896162E-4,9.020570770347263E-4,0.014779649527324403,-0.009507422907026379,0.010169521491208505]
HG02586	[-0.3970679640975887,0.09040810264341609,0.003085825536673339,0.006681263523112223,5.721303348660413E-4,-7.27399449983002E-4,-0.010115774140146113,0.04072800702881099,0.012573294987486331,0.11695508145918859,-0.004695648561075298,-0.01291996642455091,-0.0022417465255211507,0.012680036763002285,0.012221165201380224,-0.005114680753064595,0.005738009068008102,0.004056748002147395,0.0012263110497212069,-0.001181595640184287]
HG02588	[-0.3998512337061175,0.08382883483403272,0.0015357054083864861,0.0012618717782261397,0.0023227913241788208,-0.011341640144604946,-0.0029649655413476273,0.03992694999827694,0.009329189503859043,0.11455440595843303,0.0011187654348661878,-0.003047895986996749,-0.002641821440028063,0.022037356592005963,0.03866669784461547,0.00831864975252964,2.3360059953361835E-4,0.006740835820704111,-0.007972873080742836,-0.011502627698326101]
HG02589	[-0.3952831287667918,0.08623391739853034,0.009742430300435062,0.002341868701464337,0.003228546891558963,-6.982801089050759E-4,-0.013321528797402712,0.044015753904439014,0.008447396457155424,0.11784397869327638,0.0035336152438036413,-0.006483287860390266,0.004570849505247651,0.019094639475645447,0.02768383076971592,-0.0023597781403633658,-0.006172536027910095,0.004487496168119161,0.0027575801243130598,-3.2201343772320524E-4]
HG02594	[-0.3969828718500545,0.08604476224801627,0.004722554585271443,-0.002660396723310157,-0.0072172201649998895,5.132825930317156E-4,-0.015300189013199458,0.04710804477302695,0.004427957938138847,0.1045164575520305,-7.316805383001353E-4,-0.016847828477033054,-2.1638491638668838E-5,0.03084366097978339,0.03286780597076534,-0.006287016178446133,0.0017926734929712485,0.0036688759633786766,-0.008741056234921898,0.007808297593231824]
HG02595	[-0.4001649014026398,0.08751631852336858,0.005338254362917717,0.0023586322927961257,0.0025940664093526676,-0.010294525656296018,-0.01204095727490425,0.043639953551585925,0.0061590196788301734,0.11931814974696697,-0.002636829082653908,-0.007410176642450726,0.0024308078293959457,0.02641358888466136,0.028647067898604536,0.005348022450006511,-0.003678114541626689,0.0015541625424022576,-0.012616562275810601,0.005937838591652916]
HG02597	[0.06971769954243497,-0.13386334114193543,-0.10487435392578588,-0.10432316710721753,0.039817881229850374,0.0013034303966699904,-0.012274264983223688,-0.00938020354763649,-0.044104632521215784,-0.0035122204338274795,0.010278657745431038,-0.017966922430733678,0.01757146837022839,-0.02754795659334337,0.019125866264879807,0.01693142548797033,-0.012973218076038637,-0.003713424127738317,-0.003502438135109884,-0.00319420253661737]
HG02600	[0.09403309752068228,-0.08305552848902775,-0.1267576857500336,-0.1405964034017866,0.019670202170955973,-0.011511929444136397,0.00574223612926792,-1.7632358875969116E-4,0.0131964127670977,0.004540785143587147,-0.0014715641335581312,0.0013185172104283164,0.0012588905025331676,-0.004164731613965533,2.3189985936755868E-4,0.010057825913011771,0.009093760541612953,-8.12639614978586E-5,-0.00885664148443852,-9.592404494523015E-4]
HG02601	[0.08614445027167819,-0.0866972035771789,-0.12016803981949181,-0.1377551744556366,0.024113633090058716,-0.013349356119699108,0.00931434121622538,0.003124662947878208,0.010344046344054253,0.001028392028324163,-0.004564316825145382,-0.013390637959836311,0.004347570306918056,-0.009899397689553434,-0.002730252024567902,0.0013375817693196306,0.0032551211662694914,-7.886449682867194E-4,-0.006134486336454986,-0.006520936581259624]
HG02603	[0.08699710010250637,-0.10763031497868757,-0.10554362419257893,-0.11642874390092184,0.026517957091916653,0.003382419059299126,-0.0033672299006680213,-0.009506784647515294,-0.024640178040979368,0.010133957898780377,0.006440622200845496,-0.007538497712787681,0.005184341060391943,-0.008255333762902484,0.0033764142179781966,-0.015266570609161952,0.0023539771266297667,0.003483416357542031,0.005592189826281153,-0.001081788698679449]
HG02604	[0.07906307462705113,-0.12191000373983535,-0.09473156721690039,-0.10684522318641237,0.028660258580431624,-0.005107294759700269,-0.0037798837115835516,-0.002616675544186513,-0.04831428579665432,-0.0045996100362743104,0.003565490208123971,-0.001713682121503762,0.013095139702719838,-0.02263183134101552,0.025852374829412644,-0.0011353813889853162,-0.013734443363327008,-0.0020343151614330237,-2.1516922475622047E-4,-0.012803440079928055]
HG02610	[-0.3955205900968498,0.08467091116844513,0.001708992230710289,-3.266830619748271E-4,-0.002958068620788255,-0.010839795587217732,-0.003519218611482659,0.042644554277951496,-7.961977243066668E-4,0.11460533748273188,-0.001481766861192155,-0.0010904354444670947,0.007488475925547985,0.014091054310241252,0.023677497237286793,0.004813899796590576,-0.007503586201580484,-0.0017770341411320644,-0.0017550104538487214,9.635844710423365E-4]
HG02611	[-0.39818446000161023,0.08852178412594577,0.008264668119489576,0.003950239268298746,0.0024258941610332584,-0.0043070553570782625,-0.015683123002962745,0.03739792556486787,0.009610028345597864,0.1412741838767346,-0.0059026984181720825,-0.006246147265676219,9.476689814811126E-5,0.029116127222795923,0.04046963352512681,0.00855190792173091,0.011546028175581313,0.009395353829407498,-0.02020424788723986,0.004393125598809683]
