s	scores
HG00108	[0.06738211698826424,-0.24314506158116692,0.025848986151148112,0.09463901727860467,-0.0064545858232197394,-0.05677273670024926,0.045362654554030976,0.007035312252580999,-0.0026583102998575118,-0.002992224008803931,0.004367365172551849,-0.0036195280530841134,-0.001684636150343258,-0.0010869120819476856,0.008127703307300196,-0.006167482288286562,8.617162468055162E-4,0.010987741605167618,-0.012622758966536056,-0.005017177802613618]
HG00109	[0.07644522555294103,-0.2520821980376905,0.020018920423655242,0.09851844546770662,-0.007714900619308374,-0.04785772643905613,0.03169004548570239,0.0012213976375560509,0.003571535698947985,-0.005605679858743466,0.016366826231109112,0.009438552029482059,0.0022124455146521602,0.0022921604825108122,0.004126325144568994,-0.008260757699832182,0.0018311246175732017,0.02085570878812775,-0.012412444349412603,0.002758388269486504]
HG00110	[0.07764375967337399,-0.24268887025265232,0.021107483964686362,0.08839380195848619,-0.008851378381635683,-0.05788509730961241,0.029013051604272273,0.0013056206037404669,0.006264958137852232,-0.006322415105146572,-0.002267465925680077,7.852233583057186E-4,-0.002387603665461697,0.005156805486272463,-0.006432703911781935,-0.00731900910892834,0.004827272094815678,0.016918024483773237,0.005719964684945623,-0.0012216529725600019]
HG00111	[0.07526746388547942,-0.2485839613974418,0.030047550468973182,0.08392302896556404,-0.010234122910861676,-0.059341449805175195,0.03769434616109749,-8.838314797746948E-4,0.004397382630371309,7.278644038961771E-4,0.017670402332585298,-0.007526117146015142,0.004880408338884313,-0.006084493714322962,0.013575096222690538,-0.011977121150808843,0.0058685576137658315,0.016569140393722807,-0.0048191281622029705,-0.0016014961908556156]
HG00112	[0.07937446718036924,-0.24819714787445765,0.022999813911622626,0.08461576397009943,-0.0052549144660861595,-0.05535119177586605,0.0383997286568912,-0.0033350894505001076,-0.0037523304499307007,-0.005968674574248919,0.010932028233532802,-0.01474727754589117,0.006944790349792773,-0.008594191469357514,0.012337646170692081,-0.008138301464486077,5.0286830443157185E-5,0.01646091606909131,-0.003747690912599213,-0.004040062377116773]
HG00113	[0.07297517592539672,-0.25041354022732787,0.022261313591761714,0.09014999352958551,-0.007919513770244786,-0.050826964306195495,0.03143993516531359,0.0057922413474584865,-0.008609084639311938,1.0628572032023163E-4,0.01110921531930912,-0.005636346126769015,0.003466559337251644,-0.005248628638050608,0.012083792570483321,0.002964435649337,-0.0057643722034679155,0.010246580190342722,-0.005512945889804724,-0.007229293215970214]
HG00114	[0.07418411017614887,-0.24317479437421258,0.026594115243247823,0.09322372298247876,-0.008459525966471038,-0.05722783981151325,0.029303117401290844,0.0034727658519539428,-0.005306844360490924,0.003034001077580489,0.0057201675498866275,-0.009893850568818415,-3.0179291915213147E-4,-0.010309495672750885,0.009592053635434998,0.009337223709539707,0.0035861648214491437,0.005223946454634454,-0.016850450551481756,-0.01263753049386227]
HG00115	[0.07609538362088769,-0.24808113570641274,0.025188814494659543,0.08992231242950845,-0.012014265352793214,-0.04800433502145579,0.032400182058382895,-1.7725734869567206E-4,0.004266817560815484,0.005226030499250614,0.01894872925472842,0.003370779291318011,-0.005258747199839761,-0.003919317066468831,0.010798943881869662,0.009232521549560469,-0.003493651426608703,0.005561967887010964,0.003459426312251729,-0.007498973949297235]
HG00117	[0.07808505522009766,-0.24907315768725394,0.02891033180585543,0.091355738889643,-0.009716693812477294,-0.05982033153997446,0.03364722783042783,0.0030155009419376537,0.0022977312596929615,-0.0010199277285122532,0.0048343447376344665,-0.01063797522371868,-0.005186361837780487,-3.049200094180344E-4,0.012020452363878973,-0.005396165119950723,0.019375158646460295,0.025905195616970543,0.0025518878246559456,-0.013407531606037833]
HG00118	[0.07585024335413859,-0.2503818938857071,0.027369553829554014,0.08550498279181837,-0.010808174221979468,-0.054088253189681836,0.03297766677319676,0.0018946613614664392,0.003912069969344529,-0.0033196158539971258,4.7948592127323845E-4,1.0836053100380889E-4,0.004654675151059576,-0.0027623333890976934,0.004559851494007202,-0.00997377672014173,0.010406078116004403,0.008304440550095637,-0.009104263720876716,4.5000955542231287E-4]
HG00119	[0.07113609423602486,-0.2441556716571576,0.023370936729772026,0.09204787697425215,-0.007296802700330693,-0.0644730774857838,0.03681043886320771,-0.0014864107765096414,0.0071802542982462815,7.033199155398286E-4,0.007448890886663498,0.005419510661526577,0.004366465363869492,-0.00808090665897634,0.006368818623875036,-0.011413592013116492,0.006392690410329232,0.005227791272709222,0.0011483587361305128,-0.009921517538808667]
HG00120	[0.07553374732293856,-0.24857221315962647,0.02516270397788163,0.09310350378964133,-0.0023796588569087174,-0.06341732742842421,0.038673583380501086,0.008944543479011153,0.013327030869052152,0.00314802025664134,0.016253314176556802,0.004485178160332161,-8.483538572695307E-4,-0.007966246206042226,0.004797985143343039,-0.008820217557303842,0.015267031600972232,0.02184895232190535,-0.005746054715043949,0.0012369438814647275]
HG00121	[0.07350718432152067,-0.24557137142924587,0.02754091134387335,0.08744189792203531,-0.007022779596442089,-0.06631332902359796,0.03388064474799812,-3.50732834733562E-4,-0.0014785412966777018,6.243450105184642E-4,0.007922487685540215,-0.0016029633350328014,0.006580633086808195,0.0028112578179882897,0.005646267825452826,-0.007833331868232192,0.003073588503060071,0.015539251181859195,-4.4888822739258614E-4,0.004071313225308708]
HG00122	[0.07692523548087309,-0.2450308638340518,0.028171944484129727,0.08934634329051364,-0.01626206458577953,-0.06283347383207034,0.03200636469074908,0.002866063249552833,0.007653025296309349,0.005128270055547836,0.009501108082266067,-0.007401066590841916,-0.0026273498125177893,-0.004949494722371379,0.008955910423909202,-0.01080528599818653,-0.0016579164653963239,0.014286771752158312,-0.0033341546060438897,0.012538893009279305]
HG00123	[0.07245517676544637,-0.24822863156532488,0.018967791018806662,0.08812996379761151,-0.011911892303927925,-0.06707205103160671,0.035212448246013814,6.161863915811663E-4,1.0783897074556025E-4,-0.005046982107048172,0.015328285084972882,-0.003433596941776881,0.0022027251717726846,-0.009400376035069312,0.013982581775606219,-0.015598301996140063,0.003204896844617265,0.011587728785137606,0.003245154015261182,7.785594192033776E-4]
